result (1), result (2), time (1), time(2)
820, 66614, 0.0059, 0.0066
820, 66614, 0.005, 0.0057
820, 66614, 0.0041, 0.0043
820, 66614, 0.0034, 0.0034
820, 66614, 0.0029, 0.0029
820, 66614, 0.0026, 0.0025
820, 66614, 0.0022, 0.0022
820, 66614, 0.002, 0.0019
820, 66614, 0.0019, 0.0016
820, 66614, 0.0017, 0.0014
820, 66614, 0.0017, 0.0014
820, 66614, 0.0016, 0.0013
820, 66614, 0.0015, 0.0013
820, 66614, 0.0015, 0.0013
820, 66614, 0.0016, 0.0012
820, 66614, 0.0015, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0016, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0052
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0014
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0013
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0017, 0.0016
820, 66614, 0.0016, 0.0014
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0061, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0013
820, 66614, 0.0015, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0014, 0.0012
820, 66614, 0.0015, 0.0012
820, 66614, 0.0019, 0.0032
820, 66614, 0.0031, 0.0031
820, 66614, 0.0028, 0.0031
820, 66614, 0.003, 0.0028
820, 66614, 0.0027, 0.003
820, 66614, 0.0028, 0.0031
820, 66614, 0.0028, 0.003
820, 66614, 0.0027, 0.0032
820, 66614, 0.0027, 0.0031
820, 66614, 0.0029, 0.0031
820, 66614, 0.0027, 0.003
820, 66614, 0.0024, 0.0029
820, 66614, 0.0026, 0.0031
820, 66614, 0.0029, 0.0028
820, 66614, 0.0029, 0.003
820, 66614, 0.0028, 0.003
820, 66614, 0.0031, 0.0031
820, 66614, 0.0028, 0.0031
820, 66614, 0.0024, 0.0028
820, 66614, 0.0028, 0.0032
820, 66614, 0.0023, 0.0028
820, 66614, 0.0029, 0.0031
820, 66614, 0.0029, 0.003
820, 66614, 0.0027, 0.003
820, 66614, 0.0028, 0.0031
820, 66614, 0.0029, 0.002
820, 66614, 0.0019, 0.0019
820, 66614, 0.003, 0.0031
820, 66614, 0.0029, 0.003
820, 66614, 0.0029, 0.003
820, 66614, 0.0027, 0.0031
820, 66614, 0.0029, 0.0031
820, 66614, 0.0027, 0.0031
820, 66614, 0.0028, 0.0031
820, 66614, 0.0029, 0.003
820, 66614, 0.0026, 0.0026
820, 66614, 0.0029, 0.0031
820, 66614, 0.0029, 0.003
820, 66614, 0.0026, 0.0032
820, 66614, 0.0026, 0.003
820, 66614, 0.0029, 0.003
820, 66614, 0.0026, 0.0031
820, 66614, 0.002, 0.0025
820, 66614, 0.0023, 0.0028
820, 66614, 0.002, 0.0024
820, 66614, 0.0026, 0.0031
820, 66614, 0.003, 0.0028
820, 66614, 0.0029, 0.0031
